"task_name","task_version","task_versionDate","task_form","task_ageCohort","task_language","site_id","subject_id","session_num","session_date","session_start","trial_start","initials","machine_id","response_device","nb1_total_trials","nb1_score","nb1_bias","nb1_corr","nb1_errors","nb1_mean","nb1_median","nb1_stdev","nb1sm_corr","nb1sm_errors","nb1sm_mean","nb1sm_median","nb1sm_stdev","nb1s1_corr","nb1s1_errors","nb1s1_mean","nb1s1_median","nb1s1_stdev","nb1s2_corr","nb1s2_errors","nb1s2_mean","nb1s2_median","nb1s2_stdev","nb1s3_corr","nb1s3_errors","nb1s3_mean","nb1s3_median","nb1s3_stdev","nb1s4_corr","nb1s4_errors","nb1s4_mean","nb1s4_median","nb1s4_stdev","nb1vhL_corr","nb1vhL_errors","nb1vhL_mean","nb1vhL_median","nb1vhL_stdev","nb1vhR_corr","nb1vhR_errors","nb1vhR_mean","nb1vhR_median","nb1vhR_stdev","nb2_total_trials","nb2_score","nb2_bias","nb2_corr","nb2_errors","nb2_mean","nb2_median","nb2_stdev","nb2sm_corr","nb2sm_errors","nb2sm_mean","nb2sm_median","nb2sm_stdev","nb2s1_corr","nb2s1_errors","nb2s1_mean","nb2s1_median","nb2s1_stdev","nb2s2_corr","nb2s2_errors","nb2s2_mean","nb2s2_median","nb2s2_stdev","nb2s3_corr","nb2s3_errors","nb2s3_mean","nb2s3_median","nb2s3_stdev","nb2s4_corr","nb2s4_errors","nb2s4_mean","nb2s4_median","nb2s4_stdev","nb2vhL_corr","nb2vhL_errors","nb2vhL_mean","nb2vhL_median","nb2vhL_stdev","nb2vhR_corr","nb2vhR_errors","nb2vhR_mean","nb2vhR_median","nb2vhR_stdev","nb2int_corr","nb2int_errors","nb2int_mean","nb2int_median","nb2int_stdev","nb2noint_corr","nb2noint_errors","nb2noint_mean","nb2noint_median","nb2noint_stdev"
"NBack","3.2.0.2","04/04/2012","a","Adult","English","UIC-IJR",0,1,"10/19/2018","17:14:19",NA,"JW","IJR-235a","keyboard",10,-5,-5,8,2,0.6984,0.7162,0.1492,3,0,0.7331,0.6717,0.1116,1,2,0.8144,NA,0,1,0,0.8536,NA,0,1,0,0.7606,NA,0,2,0,0.4797,0.4797,0.0049,1,1,0.8536,NA,0,5,0,0.6495,0.6378,0.1599,0,-5,-5,0,0,-5,-5,-5,0,0,-5,-5,-5,0,0,-5,-5,-5,0,0,-5,-5,-5,0,0,-5,-5,-5,0,0,-5,-5,-5,0,0,-5,-5,-5,0,0,-5,-5,-5,0,0,-5,-5,-5,0,0,-5,-5,-5
"NBack","3.2.0.2","04/04/2012","a","Adult","English","UIC-IJR",123,1,"06/20/2018","12:57",NA,"slp","IJR-235a",NA,0,-5,-5,0,0,-5,-5,-5,0,0,-5,-5,-5,0,0,-5,-5,-5,0,0,-5,-5,-5,0,0,-5,-5,-5,0,0,-5,-5,-5,0,0,-5,-5,-5,0,0,-5,-5,-5,0,-5,-5,0,0,-5,-5,-5,0,0,-5,-5,-5,0,0,-5,-5,-5,0,0,-5,-5,-5,0,0,-5,-5,-5,0,0,-5,-5,-5,0,0,-5,-5,-5,0,0,-5,-5,-5,0,0,-5,-5,-5,0,0,-5,-5,-5
"NBack","3.2.0.2","04/04/2012","a","Adult","English","UIC-IJR",100,1,"10/14/2019","12:19:19",NA,"jw","IJR-235a","keyboard",30,1.594,0.3,23,7,0.6658,0.6533,0.1633,9,1,0.5983,0.5921,0.1042,1,4,0.769,NA,0,3,2,0.6902,0.696,0.0263,5,0,0.7312,0.6785,0.2592,5,0,0.6868,0.6589,0.1418,10,1,0.6683,0.667,0.1212,9,2,0.601,0.5921,0.0983,90,0.506,0.253,51,39,0.8701,0.7771,0.4086,21,9,0.9089,0.7711,0.5889,2,13,0.6942,0.6942,0.1705,10,5,0.8824,0.8343,0.1738,10,5,0.8008,0.803,0.2054,8,7,0.8837,0.8428,0.1962,20,14,0.9577,0.8018,0.5878,19,15,0.8219,0.755,0.2442,0,8,-5,-5,-5,51,31,0.8701,0.7771,0.4086
"NBack","3.2.0.2","04/04/2012","a","Adult","English","UIC-IJR",101,1,"11/08/2019","14:01:01",NA,"jw","IJR-235a","keyboard",30,1.888,0.153,25,5,0.7749,0.7157,0.2563,9,1,0.6648,0.6644,0.1015,2,3,0.8901,0.8901,0.1626,4,1,0.9214,0.8701,0.3464,5,0,0.7436,0.7864,0.1266,5,0,0.8408,0.7151,0.371,8,3,0.6758,0.6671,0.135,10,1,0.7963,0.7157,0.2554,90,0.708,-0.025,58,32,1.1361,0.9344,0.7937,19,11,0.7711,0.7349,0.3049,10,5,1.0724,1.0004,0.695,10,5,1.2973,1.0281,0.9432,7,8,1.1121,1.0161,0.6818,12,3,1.6465,1.4333,0.9929,20,14,1.194,0.9431,0.8278,22,12,0.9437,0.9258,0.4049,3,5,0.9066,0.3438,0.8917,55,27,1.1486,0.9431,0.7861
"NBack","3.2.0.2","04/04/2012","a","Adult","English","UIC-IJR",102,1,"11/18/2019","16:58:23",NA,"jw","IJR-235a","keyboard",30,2.658,0.362,27,3,0.8004,0.7562,0.277,10,0,0.7099,0.6555,0.1536,3,2,0.9838,1.0143,0.1048,4,1,0.7733,0.8387,0.1881,5,0,0.8788,0.7513,0.4355,5,0,0.8145,0.6966,0.3148,11,0,0.7488,0.761,0.1784,10,1,0.7945,0.7323,0.2702,90,1.761,-0.28,75,15,0.8886,0.9119,0.2318,22,8,0.7648,0.7293,0.2055,11,4,0.9202,0.896,0.2379,13,2,0.9519,0.9151,0.2601,14,1,0.9449,0.9434,0.22,15,0,0.9398,0.9343,0.1705,28,6,0.8907,0.9112,0.2413,27,7,0.8896,0.9119,0.2351,6,2,1.0027,0.9593,0.1985,69,13,0.8787,0.9119,0.2318
"NBack","3.2.0.2","04/04/2012","a","Adult","English","UIC-IJR",103,1,"12/13/2019","14:57:24",NA,"jw","IJR-235a","keyboard",30,1.888,0.153,25,5,0.8898,0.8387,0.1462,9,1,0.8036,0.77,0.134,1,4,0.9385,NA,0,5,0,1.0355,0.9949,0.1027,5,0,0.9498,0.9207,0.1342,5,0,0.8295,0.8034,0.0607,9,2,0.8547,0.8232,0.118,11,0,0.914,0.9385,0.1521,90,0.547,0.232,52,38,0.6518,0.4874,0.5807,21,9,0.5282,0.3143,0.3747,10,5,0.8199,0.5134,0.9893,9,6,0.8275,0.7089,0.5969,6,9,0.5951,0.5386,0.2842,6,9,0.5972,0.5387,0.1769,21,13,0.7887,0.4377,0.8142,20,14,0.5654,0.4389,0.3538,3,5,0.4636,0.3129,0.2266,49,33,0.6633,0.4965,0.5936
"NBack","3.2.0.2","04/04/2012","a","Adult","English","UIC-IJR",104,1,"12/03/2019","19:09:52",NA,"jw","IJR-235a","keyboard",30,3.156,0.113,29,1,0.915,0.7999,0.4732,10,0,0.7012,0.7168,0.1152,4,1,1.0359,1.0213,0.1438,5,0,0.9308,0.8781,0.2639,5,0,0.8971,0.8026,0.2666,5,0,1.248,0.8108,0.9489,10,1,0.7864,0.7651,0.1892,11,0,1.0657,0.7973,0.692,90,1.632,-0.008,72,18,5.5376,5.2007,2.7328,24,6,5.2594,4.7185,2.6628,12,3,4.6191,4.0542,2.0866,12,3,5.8404,5.883,2.5898,12,3,5.2404,5.2053,2.3111,12,3,7.0071,6.1703,3.2997,27,7,4.764,4.385,2.5351,27,7,5.7913,5.92,2.3239,6,2,6.7159,4.9902,4.1758,66,16,5.4305,5.203,2.5346
"NBack","3.2.0.2","04/04/2012","a","Adult","English","UIC-IJR",105,1,"12/09/2019","17:43:21",NA,"jw","IJR-235a","keyboard",30,2.87,0.255,28,2,0.6441,0.6247,0.1325,10,0,0.6185,0.5865,0.1568,4,1,0.6854,0.6982,0.0921,5,0,0.612,0.612,0.0532,4,1,0.6548,0.6644,0.0479,5,0,0.6856,0.5933,0.1793,10,1,0.5972,0.5981,0.1021,11,0,0.6819,0.6131,0.1318,90,1.488,0.181,68,22,0.7783,0.7335,0.2523,25,5,0.698,0.6554,0.1984,10,5,0.7221,0.7389,0.0905,11,4,0.7607,0.7445,0.1226,11,4,0.9858,0.8842,0.3742,11,4,0.8219,0.7427,0.2806,26,8,0.8532,0.7428,0.2991,27,7,0.6646,0.6924,0.1231,1,7,0.4928,NA,0,67,15,0.7826,0.7359,0.2517
"NBack","3.2.0.2","04/04/2012","a","Adult","English","UIC-IJR",106,1,"01/23/2020","13:38:11",NA,"jw","IJR-235a","keyboard",30,2.562,-0.184,28,2,0.8949,0.8361,0.2484,9,1,0.9916,0.9226,0.3345,5,0,0.8655,0.8758,0.1026,5,0,0.6993,0.7042,0.0649,4,1,1.0444,1.0064,0.2277,5,0,0.8262,0.8262,0.0962,10,1,0.9765,0.9222,0.2669,10,1,0.921,0.8249,0.2455,90,2.177,-0.489,79,11,1.6892,1.3975,0.9196,22,8,1.2653,1.1319,0.5392,13,2,2.0641,1.5394,1.1482,15,0,1.5755,1.3484,0.6846,15,0,1.9691,2.0286,0.8046,14,1,1.8291,1.2913,1.1681,33,1,1.8895,1.4,1.1691,28,6,1.4201,1.2801,0.5371,8,0,1.8828,1.6747,0.7692,71,11,1.6674,1.3931,0.9325
"NBack","3.2.0.2","04/04/2012","a","Adult","English","UIC-IJR",109,1,"01/27/2020","13:24:45",NA,"jw","IJR-235a","keyboard",30,3.156,0.113,29,1,0.6287,0.5707,0.1703,10,0,0.5126,0.5321,0.0983,5,0,0.7541,0.803,0.1582,5,0,0.6353,0.5725,0.1547,4,1,0.7058,0.6268,0.2149,5,0,0.6672,0.5932,0.1183,10,1,0.6014,0.544,0.1146,11,0,0.595,0.5707,0.154,90,1.871,-0.01,75,15,1.2096,1.0638,0.5392,25,5,0.9003,0.8677,0.2482,9,6,1.4435,1.3864,0.4858,14,1,1.4755,1.4418,0.4561,14,1,1.3537,1.0251,0.8418,13,2,1.2011,1.1944,0.2965,27,7,1.2194,1.169,0.4923,28,6,1.2387,1.1282,0.6406,8,0,1.2986,1.0281,0.4838,67,15,1.199,1.1022,0.5445
