"task_name","task_version","task_versionDate","task_form","task_ageCohort","task_language","site_id","subject_id","session_num","session_date","session_start","trial_start","initials","machine_id","response_device","total_trials","shift_score","shift_error_diff","color_corr","color_errors","color_mean","color_median","color_stdev","shape_corr","shape_errors","shape_mean","shape_median","shape_stdev","shift_corr","shift_errors","shift_mean","shift_median","shift_stdev","shifted_corr","shifted_errors","shifted_mean","shifted_median","shifted_stdev","nonshifted_corr","nonshifted_errors","nonshifted_mean","nonshifted_median","nonshifted_stdev"
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","UIC-IJR","0",1,"10/19/2018","17:08:49",NA,"JW","IJR-235a","keyboard",104,9.476,-1,20,0,0.4657,0.4398,0.1264,16,4,0.5023,0.4318,0.1648,61,3,0.5051,0.4478,0.1749,32,3,0.5218,0.4558,0.1871,29,0,0.4867,0.4478,0.1583
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","UIC-IJR","123",1,"06/20/2018","12:47",NA,"slp","IJR-235a","keyboard",104,6.673,10,8,12,0.8178,0.7198,0.7166,10,10,1.4249,1.4199,0.6925,32,32,0.9098,0.5518,0.9512,13,18,0.7241,0.4398,0.9303,19,14,1.0369,0.8479,0.9444
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","UIC-IJR","100",1,"10/14/2019","12:09:28",NA,"jw","IJR-235a","keyboard",104,8.308,-4,11,9,0.7264,0.6158,0.3678,20,0,0.5365,0.4959,0.137,59,5,0.717,0.6638,0.2543,29,4,0.7292,0.6478,0.2756,30,1,0.7052,0.6639,0.2312
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","UIC-IJR","101",1,"11/08/2019","13:54:10",NA,"jw","IJR-235a","keyboard",104,8.151,2,16,4,0.5323,0.4839,0.1748,19,1,0.6078,0.5199,0.2903,57,7,0.7798,0.6639,0.3329,28,7,0.8707,0.8118,0.3586,29,0,0.692,0.5759,0.2793
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","UIC-IJR","102",1,"11/18/2019","16:50:58",NA,"jw","IJR-235a","keyboard",104,7.934,5,20,0,0.5718,0.5279,0.1179,20,0,0.496,0.4758,0.0857,59,5,0.8602,0.7678,0.3845,32,4,0.9451,0.8519,0.4456,27,1,0.7595,0.6798,0.2626
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","UIC-IJR","103",1,"12/13/2019","14:46:23",NA,"jw","IJR-235a","keyboard",104,7.057,9,20,0,0.847,0.7718,0.3114,19,1,0.7456,0.7035,0.2602,54,10,1.0927,0.9279,0.5169,26,6,1.2503,1.04,0.6083,28,4,0.9464,0.8798,0.3566
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","UIC-IJR","104",1,"12/03/2019","19:00:18",NA,"jw","IJR-235a","keyboard",104,7.328,5,20,0,0.8178,0.7038,0.3345,20,0,0.9614,0.9518,0.1841,59,5,1.0263,0.9718,0.3581,30,3,1.091,1.0078,0.4053,29,2,0.9593,0.8959,0.2865
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","UIC-IJR","105",1,"12/09/2019","17:36:43",NA,"jw","IJR-235a","keyboard",104,7.923,6,20,0,0.4382,0.4318,0.0535,18,2,0.5772,0.5398,0.1704,56,8,0.7695,0.7038,0.2825,25,5,0.7912,0.7998,0.2621,31,3,0.7521,0.6758,0.2969
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","UIC-IJR","106",1,"01/23/2020","13:30:53",NA,"jw","IJR-235a","keyboard",104,8.121,-7,9,11,0.9331,0.7678,0.7645,20,0,0.5828,0.5492,0.1041,60,4,0.8746,0.7358,0.4567,28,3,0.9261,0.7359,0.541,32,1,0.8296,0.6718,0.3613
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","UIC-IJR","109",1,"01/27/2020","13:18:35",NA,"jw","IJR-235a","keyboard",104,9.072,3,20,0,0.4362,0.4118,0.0909,20,0,0.526,0.4999,0.1252,61,3,0.7441,0.524,0.4781,30,3,0.7817,0.6319,0.4442,31,0,0.7077,0.4638,0.506
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","UIC-IJR","110",1,"03/04/2020","10:20:59",NA,"py","IJR-235a","keyboard",104,8.891,-2,20,0,0.484,0.4559,0.1083,18,2,0.8798,0.6998,0.3944,64,0,0.7936,0.6158,0.4114,36,0,0.8038,0.6079,0.452,28,0,0.7804,0.6478,0.3518
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","UIC-IJR","111",1,"02/13/2020","16:58:11",NA,"jw","IJR-235a","keyboard",104,8.357,0,19,1,0.4293,0.3878,0.0724,15,5,0.5428,0.4999,0.1605,58,6,0.8045,0.6318,0.4328,30,4,0.758,0.6318,0.3765,28,2,0.8544,0.6318,0.481
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","UIC-IJR","112",1,"07/17/2020","12:57:14",NA,"jw","IJR-235a","keyboard",104,9.177,2,20,0,0.4261,0.4078,0.0777,18,2,0.5172,0.4798,0.1533,60,4,0.5392,0.4879,0.1795,30,3,0.5678,0.5239,0.1905,30,1,0.5105,0.4718,0.1628
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","UIC-IJR","113",1,"08/03/2020","09:58:43",NA,"JW","IJR-235a","keyboard",104,7.323,0,20,0,0.7173,0.6758,0.1322,19,1,1.0116,0.9439,0.286,63,1,1.2075,1.0999,0.4544,33,1,1.308,1.2478,0.4484,30,0,1.0969,1.0398,0.4347
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","UIC-IJR","114",1,"08/13/2020","14:38:47",NA,"jw","IJR-235a","keyboard",104,7.704,4,19,1,0.5885,0.5678,0.0915,20,0,0.5997,0.5519,0.1996,59,5,0.8336,0.8398,0.2988,30,4,0.8809,0.8919,0.2956,29,1,0.7847,0.648,0.2942
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","UIC-IJR","116",1,"09/03/2020","17:20:29",NA,"JW","IJR-235a","keyboard",104,9.114,-1,19,1,0.6663,0.5918,0.2434,19,1,0.6285,0.4958,0.3861,63,1,0.6847,0.5478,0.3393,31,1,0.7456,0.5918,0.4108,32,0,0.6256,0.5118,0.2366
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","USC_CAR_Lab","118",1,"04/19/2022","13:43:20",NA,"PS","PARTICIPANT_COMPUTER","keyboard",104,8.297,0,20,0,0.6583,0.6558,0.1311,20,0,0.7994,0.68,0.3499,64,0,0.8761,0.7762,0.3534,33,0,0.9383,0.8481,0.3655,31,0,0.8099,0.7038,0.3275
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","USC_CAR_Lab","119",1,"05/02/2022","12:57:06",NA,"PS","PARTICIPANT_COMPUTER","keyboard",104,8.308,5,20,0,0.5274,0.5119,0.1111,20,0,0.5559,0.5199,0.1492,59,5,0.7552,0.6638,0.2646,29,4,0.7764,0.6637,0.3075,30,1,0.7348,0.7199,0.2132
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","USC_CAR_Lab","120",1,"08/19/2022","12:42:42",NA,"kk","PARTICIPANT_COMPUTER","keyboard",104,9.508,1,19,1,0.4494,0.4558,0.0457,20,0,0.4559,0.4399,0.0781,62,2,0.5284,0.4559,0.2208,33,1,0.5577,0.4638,0.2466,29,1,0.495,0.4399,0.1815
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","USC_CAR_Lab","121",1,"04/29/2022","14:51:30",NA,"PS","PARTICIPANT_COMPUTER","keyboard",104,7.49,1,19,1,1.0091,0.9039,0.4102,20,0,0.777,0.7233,0.1756,62,2,1.0822,0.9998,0.3713,32,2,1.1349,1.1198,0.3146,30,0,1.026,0.9358,0.4163
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","USC_CAR_Lab","123",1,"12/12/2022","13:50:18",NA,"KK","PARTICIPANT_COMPUTER","keyboard",104,8.306,1,19,1,0.729,0.6959,0.2036,20,0,0.8143,0.7679,0.2327,62,2,0.8522,0.7278,0.4793,31,2,0.9348,0.8398,0.5799,31,0,0.7697,0.6959,0.3311
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","USC_CAR_Lab","124",1,"11/21/2022","17:29:53",NA,"kk","PARTICIPANT_COMPUTER","keyboard",104,8.37,3,20,0,0.4274,0.3999,0.115,18,2,0.4932,0.4239,0.1804,59,5,0.688,0.6479,0.256,32,3,0.7233,0.6479,0.2616,27,2,0.6461,0.6159,0.2427
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","USC_CAR_Lab","125",1,"01/23/2023","14:02:45",NA,"kk","PARTICIPANT_COMPUTER","keyboard",104,7.894,8,20,0,0.6263,0.6079,0.1788,20,0,0.6154,0.579,0.1433,56,8,0.7633,0.7119,0.253,27,5,0.8422,0.8239,0.2621,29,3,0.6898,0.6478,0.2202
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","USC_CAR_Lab","127",1,"12/13/2022","17:53:26",NA,"kk","PARTICIPANT_COMPUTER","keyboard",104,7.795,-1,17,3,0.6987,0.6319,0.2364,20,0,0.5112,0.4879,0.1299,62,2,0.875,0.8879,0.3621,32,1,0.9064,1.0078,0.3414,30,1,0.8414,0.7758,0.3801
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","USC_CAR_Lab","131",1,"10/30/2023","12:38:00",NA,"UF","PARTICIPANT_COMPUTER","keyboard",104,9.844,2,20,0,0.3439,0.3279,0.0752,20,0,0.3834,0.3759,0.0428,62,2,0.4373,0.3758,0.1606,34,2,0.4577,0.3918,0.1748,28,0,0.4124,0.3599,0.1374
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","USC_CAR_Lab","132",1,"10/09/2023","16:28:29",NA,"kk","PARTICIPANT_COMPUTER","keyboard",104,9.397,4,20,0,0.4087,0.3759,0.0732,20,0,0.4266,0.3919,0.1241,60,4,0.5028,0.4478,0.1801,33,3,0.5339,0.4559,0.216,27,1,0.4647,0.4398,0.1117
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","USC_CAR_Lab","134",1,"12/19/2023","15:49:50",NA,"kk","PARTICIPANT_COMPUTER","keyboard",104,7.648,2,20,0,0.593,0.5518,0.1076,19,1,0.631,0.6079,0.1941,61,3,0.9655,0.9119,0.3767,32,3,1.0804,1.1118,0.3516,29,0,0.8388,0.7359,0.3626
"SetShifting","3.2.0.1","12/30/2011","a","Adult","English","USC_CAR_Lab","135",1,"11/20/2023","11:11:02",NA,"kk","PARTICIPANT_COMPUTER","keyboard",104,8.25,1,19,1,0.471,0.4638,0.0849,20,0,0.5306,0.5039,0.1348,62,2,0.8811,0.7438,0.3926,29,0,0.9027,0.7278,0.4339,33,2,0.8622,0.7918,0.3512
